,cap_grade,delay_grade,overall_grade_avg_of_avgs,overall_grade_direct,speed_grade,time
"('2012-10-01 09:10:00', '2012-10-01 09:15:00')",8.8919213973799121,5.0740384615384615,7.6370809592621001,5.4150641025641022,8.945283018867924,09:12:30
"('2012-10-01 09:15:00', '2012-10-01 09:20:00')",8.8427895981087463,5.095189355168884,7.6878311188566038,5.3394745820539065,9.1255144032921809,09:17:30
"('2012-10-01 09:20:00', '2012-10-01 09:25:00')",9.1117788461538467,5.2111675126903556,7.8196487862814008,5.4165820642978,9.1359999999999992,09:22:30
"('2012-10-01 09:25:00', '2012-10-01 09:30:00')",9.2199017199017206,5.0919661733615218,7.8829033328421332,5.4795630725863287,9.3368421052631572,09:27:30
"('2012-10-01 09:30:00', '2012-10-01 09:35:00')",8.6616161616161609,5.1852260198456452,7.6978362827094911,5.3583241455347297,9.2466666666666661,09:32:30
"('2012-10-01 09:35:00', '2012-10-01 09:40:00')",9.2375000000000007,5.097777777777778,7.8107535121328233,5.6025925925925923,9.0969827586206904,09:37:30
"('2012-10-01 09:40:00', '2012-10-01 09:45:00')",9.078636959370904,5.1179839633447877,7.8043406112924743,5.4803360061092024,9.2164009111617311,09:42:30
"('2012-10-01 09:45:00', '2012-10-01 09:50:00')",8.9786096256684491,5.1475029036004649,7.8481677779555383,5.4847077042198995,9.4183908045977009,09:47:30
"('2012-10-01 09:50:00', '2012-10-01 09:55:00')",8.689556509298999,5.1901234567901238,7.7297142938967154,5.2913580246913581,9.3094629156010225,09:52:30
"('2012-10-01 09:55:00', '2012-10-01 10:00:00')",8.5656565656565657,5.1694058154235147,7.7294089793473688,5.3817951959544876,9.453164556962026,09:57:30
"('2012-10-01 10:00:00', '2012-10-01 10:05:00')",8.9275956284153004,5.1383108935128519,7.6980856791306893,5.3888208894328846,9.0283505154639183,10:02:30
"('2012-10-01 10:05:00', '2012-10-01 10:10:00')",9.0986301369863014,5.1606714628297361,7.8046975848690643,5.4396482813749003,9.1547911547911553,10:07:30
"('2012-10-01 10:10:00', '2012-10-01 10:15:00')",8.8746438746438745,5.0945273631840795,7.7000512018620464,5.3619402985074629,9.1309823677581861,10:12:30
"('2012-10-01 10:15:00', '2012-10-01 10:20:00')",9.100147275405007,5.2503176620076237,7.8771591985468268,5.4963998305802626,9.2810126582278478,10:17:30
"('2012-10-01 10:20:00', '2012-10-01 10:25:00')",8.8448795180722897,5.1974193548387095,7.7585164977527983,5.4434408602150537,9.2332506203473947,10:22:30
"('2012-10-01 10:25:00', '2012-10-01 10:30:00')",8.7581395348837212,5.3613333333333335,7.7504984467090559,5.2991111111111113,9.132022471910112,10:27:30
"('2012-10-01 10:30:00', '2012-10-01 10:35:00')",8.7910863509749309,5.1959544879898862,7.7830220518068387,5.5549936788874845,9.3620253164556964,10:32:30
"('2012-10-01 10:35:00', '2012-10-01 10:40:00')",8.9410071942446034,5.1838790931989926,7.8367676513700877,5.4223341729638959,9.3854166666666661,10:37:30
"('2012-10-01 10:40:00', '2012-10-01 10:45:00')",8.8524590163934427,5.1738562091503271,7.8712359252290121,5.3263616557734208,9.5873925501432673,10:42:30
"('2012-10-01 10:45:00', '2012-10-01 10:50:00')",8.874105865522175,5.3420398009950247,7.7328229662801435,5.4017412935323383,8.9823232323232318,10:47:30
"('2012-10-01 10:50:00', '2012-10-01 10:55:00')",8.8323076923076922,5.1659919028340084,7.7357256265789998,5.4871794871794872,9.2088772845952995,10:52:30
"('2012-10-01 10:55:00', '2012-10-01 11:00:00')",8.8569230769230778,5.3280632411067197,7.9349774698913338,5.4352217830478704,9.6199460916442057,10:57:30
"('2012-10-01 11:00:00', '2012-10-01 11:05:00')",8.5878186968838524,5.3550815558343787,7.7937872637265899,5.4437473860309495,9.4384615384615387,11:02:30
"('2012-10-01 11:05:00', '2012-10-01 11:10:00')",8.8898305084745761,5.1528822055137846,7.8654428913627044,5.5401002506265664,9.5536159600997514,11:07:30
"('2012-10-01 11:10:00', '2012-10-01 11:15:00')",8.8215892053973022,5.2407407407407405,7.8768177798180794,5.5802469135802468,9.5681233933161955,11:12:30
"('2012-10-01 11:15:00', '2012-10-01 11:20:00')",9.0335766423357668,5.2519181585677748,7.860504900467018,5.5745950554134698,9.2960199004975124,11:17:30
"('2012-10-01 11:20:00', '2012-10-01 11:25:00')",8.9835820895522396,5.2493506493506494,7.8340545027112194,5.3779220779220775,9.2692307692307701,11:22:30
"('2012-10-01 11:25:00', '2012-10-01 11:30:00')",8.9279538904899134,5.2835633626097867,7.9461671266946086,5.4378920953575909,9.6269841269841265,11:27:30
"('2012-10-01 11:30:00', '2012-10-01 11:35:00')",8.5338235294117641,5.242819843342037,7.784454316491126,5.4355961705831159,9.5767195767195759,11:32:30
"('2012-10-01 11:35:00', '2012-10-01 11:40:00')",8.4528832630098449,5.1523929471032748,7.7587648289585074,5.380772460117548,9.6710182767624016,11:37:30
"('2012-10-01 11:40:00', '2012-10-01 11:45:00')",8.7705146036161334,5.3162500000000001,7.7160723725275382,5.3154166666666667,9.061452513966481,11:42:30
"('2012-10-01 11:45:00', '2012-10-01 11:50:00')",8.9103260869565215,5.4242053789731051,7.8839972611299816,5.4902200488997552,9.3174603174603181,11:47:30
"('2012-10-01 11:50:00', '2012-10-01 11:55:00')",8.7872928176795586,5.3163636363636364,7.8333586304611158,5.3947474747474748,9.3964194373401533,11:52:30
