route_id,route_long_name
163,"Kilchberg ZH, Bahnhof to Kilchberg ZH, Bendlikon"
163,"Kilchberg ZH, Bächlerstrasse to Kilchberg ZH, Obere Hornhalde"
163,"Kilchberg ZH, Schwelle to Kilchberg ZH, Kreuzstrasse"
163,"Kilchberg ZH, Schoorenstrasse to Kilchberg ZH,Schulhaus Dorfstr"
163,"Kilchberg ZH, Lindt & Sprüngli to Kilchberg ZH, Schoorenstrasse"
163,"Kilchberg ZH,Schulhaus Dorfstr to Kilchberg ZH, Schwelle"
163,"Kilchberg ZH, Gottlieb-Binder to Kilchberg ZH, Stockengut"
163,"Kilchberg ZH, Kreuzstrasse to Kilchberg ZH, Gottlieb-Binder"
163,"Kilchberg ZH, Stockengut to Kilchberg ZH, Mythenstrasse"
163,"Kilchberg ZH, Mythenstrasse to Kilchberg ZH, Bächlerstrasse"
S18,
S18,
S18,
2,"Zürich, Friedrichstrasse to Zürich, Höschgasse"
2,"Zürich, Höschgasse to Zürich, Feldeggstrasse"
2,"Zürich, Feldeggstrasse to Zürich, Kreuzstrasse"
2,"Zürich, Kreuzstrasse to Zürich, Opernhaus"
2,"Zürich, Opernhaus to Zürich, Bellevue"
2,"Zürich, Bellevue to Zürich, Bürkliplatz"
3,"Zürich, Bezirksgebäude to Zürich, Stauffacher"
3,"Zürich, Stauffacher to Zürich, Sihlpost"
3,"Zürich, Sihlpost to Zürich, Löwenplatz"
3,"Zürich, Löwenplatz to Zürich, Bahnhofplatz/HB"
3,"Zürich, Bahnhofplatz/HB to Zürich, Central"
3,"Zürich, Central to Zürich, Neumarkt"
3,"Zürich, Neumarkt to Zürich, Kunsthaus"
3,"Zürich, Kunsthaus to Zürich, Hottingerplatz"
3,"Zürich, Hottingerplatz to Zürich, Römerhof"
3,"Zürich, Römerhof to Zürich, Hölderlinstrasse"
3,"Zürich, Hölderlinstrasse to Zürich, Klusplatz"
3,"Zürich, Albisrieden to Zürich, Fellenbergstrasse"
3,"Zürich, Fellenbergstrasse to Zürich, Siemens"
3,"Zürich, Siemens to Zürich, Hubertus"
3,"Zürich, Hubertus to Zürich, Krematorium Sihlfeld"
3,"Zürich, Krematorium Sihlfeld to Zürich, Albisriederplatz"
3,"Zürich, Albisriederplatz to Zürich, Zypressenstrasse"
3,"Zürich, Zypressenstrasse to Zürich, Lochergut"
3,"Zürich, Lochergut to Zürich, Kalkbreite"
77,"Zürich, Altenhofstrasse to Zürich, Botanischer Garten"
77,"Zürich, Hegibachplatz to Zürich, Hegibachplatz"
